year,geography,total_households,"$9,999_or_less","$10,000_to_$14,999","$15,000_to_$24,999","$25,000_to_$34,999","$35,000_to_$49,999","$50,000_to_$74,999","$75,000_to_$99,999","$100,000_to_$150,000","$150,000_to_$199,999","$200,000_or_more",median_household_income,mean_household_income,mean_earnings,mean_soc_sec,mean_ret_income,mean_supp_sec_income,mean_cash_pub_income,food_stamp_benefits,population,pop_w_health_insurance,pop_w_private_health,pop_w_public_coverage,pop_no_health_insurance
2016,New York,7266187,556825,373344,691781,632230,832804,1177356,865492,1062251,489214,584890,60741,89397,93924,18381,26534,9366,3825,1118434,19453583,17785491,12842299,7134416,1668092
2016,"Albany County, New York",124108,7606,6285,11507,10845,14900,22510,16017,19466,8093,6879,60904,81603,83232,19131,29496,9341,3743,14305,304048,287725,237720,93742,16323
2016,"Allegany County, New York",18032,1282,1193,2308,2110,3196,3521,2277,1604,320,221,44085,54958,54495,17561,19662,9160,3220,2872,47207,43052,32118,18423,4155
2016,"Bronx County, New York",490740,76719,45398,66942,54687,65338,74323,44111,40947,12865,9410,35302,51445,57317,14211,20862,8885,3598,179811,1414859,1240816,615421,754030,174043
2016,"Broome County, New York",78738,6134,4972,10079,8560,11189,14361,9432,9066,2742,2203,47744,63302,64554,18249,22972,9310,3492,12867,194413,183183,134119,78559,11230
2016,"Cattaraugus County, New York",31502,2078,2224,4272,4040,4828,6134,3562,3288,695,381,43884,55632,56502,17614,18700,9342,2879,5588,77748,70680,52874,31778,7068
2016,"Cayuga County, New York",31039,1837,1441,3388,3243,4696,6474,3873,4266,1153,668,53114,65579,66822,18117,20376,10148,2977,3990,75490,69987,54479,28127,5503
2016,"Chautauqua County, New York",52718,4465,3738,7164,6183,8305,9720,6256,4904,1227,756,43211,55820,56322,18130,22205,9517,4112,9948,129115,120020,84854,55397,9095
2016,"Chemung County, New York",34887,2654,2172,4466,3598,4686,6739,4080,4230,1307,955,49578,64475,67328,17696,21358,9367,3057,5546,84179,78837,57033,34418,5342
2016,"Chenango County, New York",19837,1436,1314,2723,2162,2904,3943,2432,2145,499,279,46979,57930,59495,17340,18547,10469,3175,3582,48706,45351,32765,20763,3355
2016,"Clinton County, New York",31648,2266,1861,3679,3310,4574,6219,3925,3822,1366,626,50502,63804,63140,18305,24391,10340,3360,5760,76963,72684,55294,30018,4279
2016,"Columbia County, New York",25295,1412,1035,2425,2749,3016,4651,3636,3745,1322,1304,59916,80682,78133,19176,27461,9029,3853,2696,60143,56490,43695,22959,3653
2016,"Cortland County, New York",17683,1108,1012,1929,1718,2887,3437,2312,2104,809,367,50910,64736,64577,17854,20157,8965,3500,2471,48238,45411,36553,15386,2827
2016,"Delaware County, New York",18817,1471,1346,2698,2008,2579,3637,2313,2101,296,368,46055,58038,55265,18201,21261,9264,2470,2905,45975,42293,30797,20298,3682
2016,"Dutchess County, New York",106949,4471,4235,8166,8544,11547,17910,14914,19732,9327,8103,72706,93359,91870,20204,28528,10174,4604,10753,288137,269005,219568,88410,19132
2016,"Erie County, New York",382822,31399,21808,41268,37599,49911,67261,49049,52769,17831,13927,52744,70408,74211,18288,22828,9512,3824,62448,910418,866423,654275,342070,43995
2016,"Essex County, New York",15298,866,736,1542,1580,2395,3155,2189,1846,667,322,53244,67970,64912,18656,23812,10040,2803,1762,36349,33872,25740,15131,2477
2016,"Franklin County, New York",19299,1932,1282,2000,1879,2596,4022,2503,2076,578,431,49782,61437,61794,18026,26643,9155,3426,3510,46172,42132,30425,19185,4040
2016,"Fulton County, New York",22450,1613,1338,2919,2531,3578,4312,2313,2795,611,440,46090,59738,61426,17232,22481,9241,2258,3367,53503,48922,34755,22996,4581
2016,"Genesee County, New York",23825,1318,1365,2340,2621,3586,4863,3247,3225,850,410,52641,64313,64290,18842,20799,10197,4232,2849,58542,54930,43504,20945,3612
2016,"Greene County, New York",17125,1019,1040,2089,1733,2496,3289,2056,2200,705,498,51013,67084,69462,18794,28153,10178,3614,1453,45128,42119,31525,18057,3009
2016,"Hamilton County, New York",1239,72,76,155,138,157,296,117,147,52,29,52708,62567,54918,19318,28098,12960,2511,103,4669,4222,3235,2006,447
2016,"Herkimer County, New York",25670,1684,1742,2933,2731,4027,5258,3340,2895,633,427,48893,60001,60057,17917,20577,9736,4620,4460,62918,58078,41104,26502,4840
2016,"Jefferson County, New York",43428,2998,2440,4266,4842,7207,8925,5403,5343,1142,862,49911,62281,61630,17413,22664,8441,3358,7023,105638,97405,73252,38986,8233
2016,"Kings County, New York",938803,103164,61462,102273,87051,110186,146420,102042,117284,51032,57889,50640,75810,83154,15358,22798,9173,3915,224967,2596190,2317645,1359792,1141732,278545
2016,"Lewis County, New York",10307,577,659,972,1303,1645,1945,1396,1266,306,238,49976,63802,66252,17635,19425,9808,3401,1723,26714,24313,18411,9848,2401
2016,"Livingston County, New York",24217,1462,1323,2620,2325,3720,4690,3422,3438,722,495,52724,64017,65168,18393,21246,10087,3091,3114,62084,58878,48033,20553,3206
2016,"Madison County, New York",26121,1631,1132,2473,2733,3692,5248,3455,3817,1053,887,55858,70745,73007,18680,22571,9570,3811,3416,71502,67680,52711,24670,3822
2016,"Monroe County, New York",300289,23030,15618,30900,30111,40911,53591,37596,40946,15210,12376,53568,72464,75415,19182,21752,9743,3927,44490,742076,703491,542630,264433,38585
2016,"Montgomery County, New York",19540,1591,1354,2931,2085,2786,3566,2365,2026,518,318,44455,58346,58338,17355,20324,9939,3286,3887,48884,44599,29857,22130,4285
2016,"Nassau County, New York",440230,13030,9832,24036,24036,35151,55656,53371,89684,57488,77946,102044,133541,133362,21730,34207,11047,4761,22109,1346876,1258454,1078754,349465,88422
2016,"New York County, New York",753385,70834,39354,60098,49157,60822,94632,73110,102917,60184,142277,75513,138748,148898,17351,31192,8636,3657,103454,1624084,1501342,1103893,528587,122742
2016,"Niagara County, New York",87638,6210,5039,9912,10364,12233,15835,11215,11475,3430,1925,50094,64691,67965,18774,21125,10039,3861,11508,211319,199815,153881,81121,11504
2016,"Oneida County, New York",90260,6530,5650,10713,10207,12140,17693,10997,10570,3260,2500,49838,65444,67119,17396,23399,9367,3759,15827,225239,212646,150983,96091,12593
2016,"Onondaga County, New York",184925,14388,9734,17958,17194,24222,33965,23309,26526,9595,8034,55717,73878,77424,18555,23741,9846,3764,26627,462864,436066,339710,164592,26798
2016,"Ontario County, New York",44180,1759,1924,4856,4369,5879,8529,5927,6784,2227,1926,58070,76648,77626,19708,23034,8684,3208,4653,108522,102217,82352,37031,6305
2016,"Orange County, New York",125144,6720,4847,10208,9580,13443,19866,16423,24079,11004,8974,71910,90449,91119,19247,30406,10736,4015,13941,367037,342018,265530,118200,25019
2016,"Orleans County, New York",16132,1009,854,2245,1729,2392,3569,1812,1804,445,273,48731,59724,60264,17863,18641,10487,3100,2785,39187,36188,26664,16231,2999
2016,"Oswego County, New York",45374,3264,2585,4913,5006,7105,8509,6174,5435,1425,958,49571,62285,63313,18569,22561,9406,3940,7923,119812,111358,77555,50116,8454
2016,"Otsego County, New York",23539,1641,1364,2791,2548,3485,4898,2717,2683,872,540,49689,62880,61766,17907,22914,9966,2532,2621,60310,55942,43306,22155,4368
2016,"Putnam County, New York",34102,762,700,1874,2119,2414,4847,4810,7393,4441,4742,97606,119520,117424,21737,31561,12333,6447,1327,98778,92339,80831,23655,6439
2016,"Queens County, New York",779304,54716,34131,75605,71095,95857,139380,101760,117357,51350,38053,59758,77515,80754,17096,24121,8798,3966,108512,2294929,1976051,1275143,879688,318878
2016,"Rensselaer County, New York",63553,3372,3094,5493,6036,8102,11595,8933,10629,3899,2400,61754,77214,77577,18543,28028,9880,3382,7593,158204,149842,120022,52222,8362
2016,"Richmond County, New York",166014,13279,6215,12687,11208,15455,25169,21431,31929,15675,12966,74021,92152,97649,19340,31875,9993,3665,20824,469465,438378,331973,151322,31087
2016,"Rockland County, New York",99038,4018,3954,7659,6173,8905,13203,12141,18537,10846,13602,86134,111647,110006,21831,33679,9122,4783,11020,320199,294991,212584,120000,25208
2016,"St. Lawrence County, New York",41466,3389,2899,5086,4979,5540,8143,5408,3952,1121,949,46313,60757,61321,17763,21793,9234,3712,7050,107906,98594,71908,42754,9312
2016,"Saratoga County, New York",90896,2910,2658,6704,6734,10095,16929,13318,18137,7426,5985,74080,92019,92658,20113,28391,10269,3756,7152,221645,211950,182250,61848,9695
2016,"Schenectady County, New York",55027,3133,3174,5239,4910,6901,10045,8086,8480,2980,2079,59959,74602,75293,18738,28201,9735,3409,7590,153116,144116,108846,55764,9000
2016,"Schoharie County, New York",12373,660,811,1507,1336,1796,2348,1754,1462,496,203,50607,62836,62200,18461,24890,9688,2059,1548,31594,29702,22167,12857,1892
2016,"Schuyler County, New York",7376,531,480,882,794,1170,1428,894,937,179,81,47229,60523,61528,18625,22330,9988,3650,979,18062,16520,11733,7475,1542
2016,"Seneca County, New York",13672,847,590,1920,1469,1999,2580,1791,1713,460,303,50073,64571,64049,17608,19713,9897,3136,1686,32261,29139,22576,12117,3122
2016,"Steuben County, New York",40438,2620,2613,4548,5004,5812,7962,4967,4661,1273,978,48823,64486,66315,18289,21672,9506,4851,5642,96973,89189,64859,39578,7784
2016,"Suffolk County, New York",489758,17471,13372,29839,29763,42739,72192,64319,99758,58107,62198,90128,113853,115150,20875,33572,10682,4122,32959,1483117,1370555,1151302,411236,112562
2016,"Sullivan County, New York",28007,2009,1534,3360,2973,3688,5479,3438,3265,1260,1001,52027,68938,70936,18200,24488,9591,4256,3756,73437,66470,46382,30769,6967
2016,"Tioga County, New York",19705,920,1038,2262,2095,2219,3955,2508,2958,971,779,58115,72985,73929,19735,21976,8920,2951,2828,49274,46219,35501,18323,3055
2016,"Tompkins County, New York",38269,4085,2105,3393,3650,4717,6824,4333,4660,2264,2238,54133,75549,76065,19675,29563,9631,3772,3628,103385,97936,82168,26438,5449
2016,"Ulster County, New York",69335,3869,3729,6840,7194,7747,12477,8983,10730,4231,3535,60393,79337,79844,18496,24225,9826,4343,7892,176129,161407,123931,62401,14722
2016,"Warren County, New York",26944,1392,1682,2352,2696,3734,5435,3608,3847,1234,964,57174,73561,70306,19305,31273,10558,2784,3217,64348,59964,47065,24412,4384
2016,"Washington County, New York",24027,1323,1198,2745,2420,3981,4975,3234,2787,880,484,51449,64100,61386,18902,21855,9155,4158,3517,59457,54637,40524,23971,4820
2016,"Wayne County, New York",36576,1797,1753,3738,4830,5427,7393,4977,4547,1353,761,51627,64606,65460,19301,20346,9423,3645,4269,90882,84544,64656,32926,6338
2016,"Westchester County, New York",341762,17716,11493,24197,22509,30410,46088,36537,56108,34062,62642,86226,137881,142481,21020,32809,9033,3899,29540,956762,871693,704333,277258,85069
