nta_name,borough,nta_code,population,under_5_years,5-9_years,10-14_years,15-19_years,20-24_years,25-29_years,30-34_years,35-39_years,40-44_years,45-49_years,50-54_years,55-59_years,60-64_years,over_65_years,median_age,people_per_acre,households,"less_than_10,000",10000_to_14999,15000_to_24999,25000_to_34999,35000_to_49999,50000_to_74999,75000_to_99999,100000_to_149999,150000_to_199999,200000_or_more,median_income,mean_income
Allerton-Pelham Gardens,Bronx,BX31,28903,1679,1706,1763,2039,1964,1703,1798,1654,1937,2203,2027,1785,1619,5026,40,39.8,9587,836,348,797,773,1160,1764,1155,1562,765,427,61638,78489
Annadale-Huguenot-Prince's Bay-Eltingville,Staten Island,SI01,27770,1397,1698,1817,1880,1720,1594,1487,1814,2073,2274,2246,1961,1869,3940,41,8.4,9885,467,253,571,405,1008,1523,1346,2075,1086,1151,88288,109187
Arden Heights,Staten Island,SI48,25238,1507,1540,1596,1752,1614,1561,1726,1828,1914,1892,1910,1945,1763,2690,39,21.8,8960,304,256,337,516,707,1421,1611,2021,1047,740,89570,101627
Astoria,Queens,QN70,78793,3480,3037,3060,3392,6630,11586,9252,6843,5633,4944,4599,4018,3373,8946,34,87.3,34310,2772,1782,3673,2816,4725,6463,4557,4698,1627,1197,54882,70094
Auburndale,Queens,QN48,19996,917,966,1063,1168,1214,1307,1296,1336,1451,1557,1659,1560,1326,3176,43,25.5,7122,270,349,445,632,690,1417,1060,1237,589,433,70772,84402
Baisley Park,Queens,QN76,34603,2198,2389,2569,2923,2699,2430,2264,2191,2414,2763,2585,2013,1469,3696,35,35.7,10730,637,385,820,941,1575,2186,1532,1718,629,307,59357,72664
Bath Beach,Brooklyn,BK27,29931,1766,1668,1672,1581,1922,2234,2308,2241,2006,2080,2097,1930,1653,4773,39,62.3,11125,897,768,1091,932,1407,2016,1176,1606,711,521,55193,76037
Battery Park City-Lower Manhattan,Manhattan,MN25,39699,2272,1055,691,1453,5203,7559,5978,4206,2823,1945,1589,1398,1182,2345,31,82.7,21216,1197,420,800,609,960,1909,2416,3878,2377,6650,125434,185275
Bay Ridge,Brooklyn,BK31,78607,4571,3998,3772,3802,4700,7214,6738,6207,5718,5618,5541,5090,4340,11298,39,50.5,34991,2654,1864,3575,3067,4056,5848,4154,4869,2498,2406,57980,82209
Bayside-Bayside Hills,Queens,QN46,43808,2106,2199,2353,2694,2504,2832,2935,3014,3158,3569,3531,3197,2698,7018,42,23.6,16008,578,494,1284,1073,1680,2506,2360,3047,1710,1276,79120,94806
Bedford,Brooklyn,BK75,70713,6850,6109,5426,5390,6377,7007,6183,4818,4308,4060,3686,2771,2343,5385,29,94.4,24920,3682,2296,3129,2803,3263,3605,2079,2447,1055,561,37343,55606
Bedford Park-Fordham North,Bronx,BX05,54415,4517,4183,4058,4623,4693,4663,4262,3854,3830,3786,3490,2724,2029,3703,31,158.3,18636,3096,2319,3041,2063,2431,2728,1583,1077,149,149,29549,41324
Bellerose,Queens,QN43,25287,1347,1374,1485,1659,1674,1726,1687,1567,1769,1960,2236,1926,1490,3387,40,20.1,8252,387,233,565,462,1009,1322,1292,1608,860,514,77863,91677
Belmont,Bronx,BX06,27378,2076,2073,1969,3458,3937,2157,1846,1761,1580,1622,1229,966,756,1948,25,87.4,8643,1993,1202,1648,1215,836,950,366,329,90,14,21924,31783
Bensonhurst East,Brooklyn,BK29,62978,3578,3377,3360,3528,4381,4924,4743,4400,4354,4613,4639,4214,3619,9248,39,76.8,21974,2094,1386,2787,2409,3075,3870,2451,2379,887,636,45108,63848
Bensonhurst West,Brooklyn,BK28,88727,5104,4905,5038,5405,6731,6877,6398,6130,5974,6686,6283,5674,4955,12567,38,82.8,30027,2431,2079,3878,3132,4323,5362,3281,3496,1221,824,46137,63192
Borough Park,Brooklyn,BK88,106357,14703,11971,10024,9094,8640,7872,6829,5599,4171,4033,4622,4670,4319,9810,24,85.9,28130,2252,2878,4893,3850,3711,4098,2136,2486,1043,783,35754,55689
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,QN10,28018,1454,1595,1574,1684,1385,1473,1400,1646,1894,2250,2427,2281,1956,4999,45,13.8,10866,518,568,771,829,992,1774,1698,1942,942,832,74718,93505
Briarwood-Jamaica Hills,Queens,QN35,39138,2418,2049,1992,2367,2947,3337,3430,2970,2806,2704,2740,2407,2061,4910,37,58.1,13735,892,453,1510,1180,1802,2948,1526,2268,821,335,58564,71223
Brighton Beach,Brooklyn,BK19,35547,1780,1526,1514,1728,2221,2393,2154,2026,2130,2331,2584,2427,2701,8032,46,90.4,14145,3054,1385,1585,1509,1263,1728,1114,1228,614,665,30872,59875
Bronxdale,Bronx,BX07,35538,2458,2311,2404,2600,2629,2953,2636,2389,2491,2546,2364,1960,1575,4222,35,101.8,13361,2283,1192,1742,1199,1890,2128,1615,1018,238,56,36859,47292
Brooklyn Heights-Cobble Hill,Brooklyn,BK09,22887,1300,695,499,941,1628,2519,2885,2334,1871,1392,1233,1308,1233,3049,37,97,11036,505,356,657,606,760,1225,1187,1791,1173,2776,105398,169555
Brownsville,Brooklyn,BK81,58300,4490,4569,5049,5864,4963,4019,3670,3530,3765,3885,3747,2813,2469,5467,30,77.7,21030,4850,2594,3059,2654,2667,2561,1423,818,258,146,25041,36810
Bushwick North,Brooklyn,BK77,57138,4304,3894,3637,4177,6247,6884,5509,4552,3870,3450,2891,2328,1858,3537,30,100.1,19191,2500,1085,2503,2121,2901,3322,1928,1889,624,318,42296,56593
Bushwick South,Brooklyn,BK78,72101,4838,4712,5004,5619,7712,8016,5968,4658,4575,4536,4027,3272,2768,6396,30,78.1,25575,4206,1833,3539,2621,3407,4421,2418,2171,670,289,37285,49696
Cambria Heights,Queens,QN33,18677,907,977,1064,1291,1225,1081,1100,1133,1294,1495,1393,1249,1170,3298,42,24.2,6178,166,103,325,523,670,1152,767,1451,663,358,79888,93955
Canarsie,Brooklyn,BK50,83693,5027,5369,5909,6838,6425,5766,5497,5337,5713,6406,6652,5687,4420,8647,36,42.7,28134,2431,1072,2302,2426,3597,5003,4212,4225,1914,952,60766,73367
Carroll Gardens-Columbia Street-Red Hook,Brooklyn,BK33,38353,2748,1942,1620,1577,1885,3986,5030,4188,3376,2603,2099,1821,1606,3872,35,36.9,17786,1834,704,1119,981,1376,2140,1760,2915,1876,3081,85496,124522
Central Harlem North-Polo Grounds,Manhattan,MN03,75282,4762,4478,4658,5569,6248,6490,6059,5204,5730,5636,4975,3964,3203,8306,34,126.6,33896,5743,3214,4387,3855,4489,5414,2715,2139,807,1133,34413,52748
Central Harlem South,Manhattan,MN11,43383,2686,2449,2391,2622,3416,4197,3879,3566,3774,3427,3063,2328,1745,3840,35,130.9,18974,2829,1332,1782,1658,2077,2925,1494,2331,1168,1378,48366,78612
Charleston-Richmond Valley-Tottenville,Staten Island,SI11,23313,1372,1729,1674,1593,1442,1385,1516,1855,2175,2119,1794,1362,1091,2206,38,6.8,7853,218,368,533,371,610,1097,1155,1708,835,958,90788,108550
Chinatown,Manhattan,MN27,47844,1807,1802,1792,2049,4088,5091,4191,3517,3328,3434,3277,3016,2748,7704,39,144,17922,2719,1868,2849,1399,1841,2430,1661,1585,630,940,35908,62270
Claremont-Bathgate,Bronx,BX01,31078,2890,2816,2769,3113,2658,2325,2012,1836,2078,2095,1830,1293,1070,2293,28,82.4,10299,2594,1744,1760,1211,1083,1193,323,327,56,8,20461,29720
Clinton,Manhattan,MN15,45884,1299,851,771,1103,4384,7093,5878,4208,3648,3282,3009,2789,2404,5165,37,108.6,25095,1746,1601,1728,2171,2099,3405,2827,4001,1859,3658,73591,106168
Clinton Hill,Brooklyn,BK69,34791,2231,1566,1288,2126,3561,4290,4199,3330,2439,2005,1715,1483,1406,3152,33,73.9,15178,1268,838,1325,921,1648,2241,2196,2437,1248,1056,66282,86567
