location_code,sample_type,sample_location,sampling_freq,sampling_date,isotope_name,value,units,graph_value,comment
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2014-12-29,GROSS BETA,6.4+/-1.1,pCi/1000M3,6.4,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-01-05,GROSS BETA,11.1+/-1.4,pCi/1000M3,11.1,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-01-12,GROSS BETA,13+/-1.6,pCi/1000M3,13,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-01-19,GROSS BETA,11.3+/-1.5,pCi/1000M3,11.3,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-01-29,GROSS BETA,11+/-1.2,pCi/1000M3,11,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-02-02,GROSS BETA,9.5+/-1.8,pCi/1000M3,9.5,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-02-09,GROSS BETA,13.7+/-1.6,pCi/1000M3,13.7,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-02-17,GROSS BETA,14+/-1.6,pCi/1000M3,14,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-02-24,GROSS BETA,16+/-2,pCi/1000M3,16,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-03-03,GROSS BETA,18+/-2,pCi/1000M3,18,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-03-09,GROSS BETA,13+/-2,pCi/1000M3,13,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-03-16,GROSS BETA,7.3+/-1.5,pCi/1000M3,7.3,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-03-23,GROSS BETA,9.5+/-1.7,pCi/1000M3,9.5,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-03-30,GROSS BETA,10.1+/-1.7,pCi/1000M3,10.1,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-04-06,GROSS BETA,8.4+/-1.6,pCi/1000M3,8.4,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-04-13,GROSS BETA,6.8+/-1.4,pCi/1000M3,6.8,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-04-20,GROSS BETA,10.9+/-1.8,pCi/1000M3,10.9,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-04-27,GROSS BETA,4.1+/-1.1,pCi/1000M3,4.1,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-05-04,GROSS BETA,2.6+/-1,pCi/1000M3,2.6,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-05-11,GROSS BETA,10+/-2,pCi/1000M3,10,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-05-18,GROSS BETA,9.3+/-1.3,pCi/1000M3,9.3,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-05-26,GROSS BETA,7.5+/-1,pCi/1000M3,7.5,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-06-01,GROSS BETA,6.9+/-1.1,pCi/1000M3,6.9,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-06-08,GROSS BETA,2.5+/-0.7,pCi/1000M3,2.5,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-06-15,GROSS BETA,8.9+/-1.2,pCi/1000M3,8.9,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-06-22,GROSS BETA,6+/-1,pCi/1000M3,6,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-06-29,GROSS BETA,9+/-1.2,pCi/1000M3,9,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-07-02,GROSS BETA,7.2+/-1.1,pCi/1000M3,7.2,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-07-13,GROSS BETA,7.9+/-1.1,pCi/1000M3,7.9,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-07-20,GROSS BETA,7.9+/-1.1,pCi/1000M3,7.9,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-07-27,GROSS BETA,10.1+/-1.3,pCi/1000M3,10.1,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-08-03,GROSS BETA,11.5+/-1.4,pCi/1000M3,11.5,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-08-10,GROSS BETA,6.8+/-1.1,pCi/1000M3,6.8,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-08-17,GROSS BETA,10.6+/-1.4,pCi/1000M3,10.6,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2013-01-07,GROSS BETA,20+/-2,pCi/1000M3,20,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-08-24,GROSS BETA,11.4+/-1.4,pCi/1000M3,11.4,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-08-31,GROSS BETA,11.1+/-1.4,pCi/1000M3,11.1,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-09-08,GROSS BETA,18.1+/-1.8,pCi/1000M3,18.1,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-09-14,GROSS BETA,8.5+/-1.3,pCi/1000M3,8.5,
5151-001,AIR,"BROOKHAVEN NAT'L LAB PERIMETER, STATION P-7",WEEKLY,2015-09-21,GROSS BETA,17.2+/-1.8,pCi/1000M3,17.2,
